ADDRESS,BUILDING COMPANY NAME
170 NEW YORK AVE, BROOKLYN, 11216,170 NY PROPERTIES LLC
77 DIVISION AVE, BROOKLYN, NY 11249,77 DIVISION AVE LLC
650 CROWN STREET, BROOKLYN, NY 11213,650 CROWN EQUITIES LLC
281-291 CROWN ST, BROOKLYN, NY 11225,281-291 CROWN LLC
947 MONTGOMERY ST, BROOKLYN, NY 11213,MONTGOMERY REALTY ASSOCIATES LLC
740 EMPIRE BLVD, BROOKLYN, NY 11213,740 ASSOCIATES L.P.
126 GRAHAM AVE, BROOKLYN, NY 11206,126-128 GRAHAM AVENUE LLC
228 S. 3RD ST, BROOKLYN, NY 11211,228 S. 3RD REALTY LLC
95 SEIGAL ST, BROOKLYN, NY 11206,95 SEIGEL LLC
100 EAST 21 ST, BROOKLYN, NY 11226,100 EAST 21ST EQUITIES LLC
68 ST. PAULS PL, BROOKLYN, NY 11226,68 S.P. REALTY LLC
85 CROOKE AVE, BROOKLYN, NY 11226,81-87 CROOKE AVE LLC
1245 OCEAN AVE, BROOKLYN, NY 11230,LNJ MAZEL REALTY LLC
81 CROOKE AVE, BROOKLYN, NY 11226,81-87 CROOKE AVE LLC
49 CLARKSON AVE, BROOKLY, NY 11226,ELUL EQUITIES LLC
701 AVENUE C, BROOKLYN, NY 11218,701 EQUITIES LLC
429 16TH ST, BROOKLYN, NY 11215,429 16TH ST LLC
2620 GLENWOOD RD, BROOKLYN, NY 11210,2620 GLENWOOD EQUITIES
300 LINDEN BLVD, BROOKLYN, NY 11226,LINDEN MARTENSE EQUITIES LLC
448 EAST 22 ST, BROOKLYN, NY 11226,EAST 22ND EQUITIES LLC
3213 SNYDER AVE, BROOKLYN, NY 11226,3213 SNYDER REALTY CORP.
846 PROEPCT PL, BROOKLYN, NY 11216,ZB PROSPECT REALTY LLC
236 IRVING AVE, BROOKLYN, NY 11237,236 IRVING AVENUE LLC
64 ST. NICHOLAS AVE, BROOKLYN, NY 11237,CENTRAL AVENUE PARTNERS, LLC
1822 GATES AVE, QUEENS, NY 11385,1822 GATES LLC
17-13 HARMAN ST,KAMM NYC LLC
